CPU,Native,Flutter,React Native,,RAM,Native,Flutter,React Native,,RSS,Native,Flutter,React Native
1, 1.474, 2.532, 2.691,,1, 4.738, 4.905, 5.385,,1, 266.455, 276.211, 302.816
2, 1.474, 2.489, 2.658,,2, 4.777, 4.881, 5.368,,2, 269.111, 274.661, 301.874
3, 1.439, 2.570, 2.602,,3, 4.793, 4.846, 5.334,,3, 269.845, 272.669, 299.810
4, 1.478, 2.389, 2.649,,4, 4.675, 4.944, 5.369,,4, 263.449, 278.423, 301.994
5, 1.452, 2.527, 2.769,,5, 4.685, 4.910, 5.332,,5, 263.801, 276.246, 299.810
6, 1.492, 2.561, 2.774,,6, 4.687, 4.918, 5.348,,6, 264.378, 276.762, 300.646
7, 1.428, 2.476, 2.773,,7, 4.760, 4.868, 5.311,,7, 268.164, 273.907, 298.794
8, 1.400, 2.437, 2.715,,8, 4.690, 4.918, 5.312,,8, 264.160, 276.786, 298.823
9, 1.409, 2.496, 2.626,,9, 4.662, 4.858, 5.309,,9, 262.602, 273.364, 298.599
10, 1.398, 2.426, 2.662,,10, 4.661, 4.820, 5.320,,10, 262.349, 271.208, 299.163
"Average",1.4444141973990046,2.490302854588448,2.692042707756033,,"Average",4.712894393073286,4.886714522309072,5.338706273636781,,"Average",265.4314194701209,275.02372616923606,300.2328433665833
"Max",1.4916492693110648,2.570184210526316,2.774030398322851,,"Max",4.792783505154641,4.944017094017092,5.384778012685004,,"Max",269.8453608247423,278.4230769230769,302.81606765327695
"Min",1.3983887733887734,2.389236111111111,2.6023997890295356,,"Min",4.660706860706855,4.820210526315789,5.309129511677284,,"Min",262.3492723492723,271.2084210526316,298.5987261146497
"SD",0.03,0.06,0.06,,"SD",0.05,0.04,0.03,,"SD",2.61,2.12,1.44
